Code,Name,Hex,Group,Description,Color Family,Rooms,Recommended Use,Color Temperature,Tonality,Interior/Exterior,Color Collection,Style,Opacity
PP 7768,Purple,#776A8C,Purples & Pinks,Purple – a rich mid-tone purple with sophistication; perfect for statement walls and retail accents,Purples,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality, Exterior","Accent Walls, Decorative Accents",Cool,Medium,Interior,Essential Colors Collection,Classic,Full Coverage
RAL 1000,Green Beige,#CDBA88,Earthy,Green Beige – sandy beige with warm undertones; versatile and natural for subtle interiors,Beiges,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality, Exterior","Walls, Feature Walls",Warm,Light,Interior,RAL Standard Collection,Earthy,High Coverage
RAL 1001,Beige,#D0B084,Earthy,Beige – classic warm beige offering soft neutrality; reliable for whole-home use,Beiges,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality, Exterior","Walls, Ceilings, Trim",Warm,Light,Interior,RAL Standard Collection,Classic,High Coverage
RAL 1002,Sand Yellow,#D2AA6D,Earthy,Sand Yellow – a golden beige that adds warmth and vibrancy without overwhelming,Oranges,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality, Kids Room","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Soft,Full Coverage
RAL 1003,Signal Yellow,#F9A800,Jewel,Signal Yellow – a bold vibrant yellow designed for energy and high visibility,Yellows,"Kitchen, Dining Room, Kids Room, Retail, Hospitality, Exterior","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Vibrant,Full Coverage
RAL 1004,Golden Yellow,#E49E00,Jewel,Golden Yellow – a glowing sunshine tone for striking interiors and commercial highlights,Yellows,"Kitchen, Kids Room, Dining Room, Retail, Hospitality","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Vibrant,Full Coverage
RAL 1005,Honey Yellow,#CB8E00,Jewel,Honey Yellow – a deep golden yellow with warmth and character,Yellows,"Kitchen, Dining Room, Kids Room, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Vibrant,Full Coverage
RAL 1006,Maize Yellow,#E29000,Jewel,Maize Yellow – a warm earthy yellow reminiscent of ripe corn; bright yet grounded,Yellows,"Kitchen, Kids Room, Dining Room, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Vibrant,Full Coverage
RAL 1007,Chrome Yellow,#E88C00,Jewel,"Chrome Yellow – an intense warm yellow-orange, excellent for strong highlights",Oranges,"Kitchen, Dining Room, Kids Room, Retail, Hospitality","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Vibrant,Full Coverage
RAL 1011,Brown Beige,#AF804F,Earthy,Brown Beige – a warm brown-beige that grounds interiors with cozy richness,Beiges,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Cozy,Full Coverage
RAL 1012,Lemon Yellow,#DDAF27,Jewel,Lemon Yellow – a fresh citrus yellow that uplifts kitchens and social areas,Yellows,"Kitchen, Kids Room, Dining Room, Retail, Hospitality","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Vibrant,Full Coverage
RAL 1013,Oyster White,#E3D9C6,Whites & Off Whites,Oyster White – a subtle warm white with creamy undertones,Beiges,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality, Exterior, Kids Room","Walls, Ceilings, Feature Walls",Neutral,Light,Interior,RAL Standard Collection,Pale,High Coverage
RAL 1014,Ivory,#DDC49A,Pastels,Ivory – a classic soft ivory for timeless elegance in living areas and bedrooms,Beiges,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality, Exterior","Walls, Feature Walls",Warm,Light,Interior,RAL Standard Collection,Classic,High Coverage
RAL 1015,Light Ivory,#E6D2B5,Pastels,Light Ivory – pale ivory with gentle warmth; enhances small spaces,Beiges,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality, Exterior","Walls, Ceilings, Feature Walls",Warm,Light,Interior,RAL Standard Collection,Soft,High Coverage
RAL 1016,Sulfur Yellow,#F1DD38,Jewel,Sulfur Yellow – a striking yellow that enlivens interiors and commercial accents,Yellows,"Kitchen, Kids Room, Dining Room, Living Room, Bedroom, Retail, Hospitality","Feature Walls, Decorative Accents",Warm,Light,Interior,RAL Standard Collection,Vibrant,High Coverage
RAL 1017,Saffron Yellow,#F6A950,Jewel,Saffron Yellow – warm golden saffron tone that radiates luxury and richness,Oranges,"Kitchen, Dining Room, Kids Room, Retail, Hospitality, Living Room","Feature Walls, Decorative Accents",Warm,Light,Interior,RAL Standard Collection,Rich,High Coverage
RAL 1018,Zinc Yellow,#FACA30,Jewel,"Zinc Yellow – bright, high-energy yellow suited for accent walls and playful spaces",Yellows,"Kitchen, Kids Room, Dining Room, Living Room, Bedroom, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Light,Interior,RAL Standard Collection,Vibrant,High Coverage
RAL 1019,Grey Beige,#A48F7A,Earthy,Grey Beige – an elegant taupe-beige with grounding warmth; ideal for sophisticated living spaces,Beiges,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality","Walls, Feature Walls",Neutral,Medium,Interior,RAL Standard Collection,Grounding,Full Coverage
RAL 1020,Olive Yellow,#A08F65,Earthy,Olive Yellow – muted olive with golden undertones; adds rustic charm to interiors,Olive,"Living Room, Dining Room, Retail","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Cozy,Full Coverage
RAL 1021,Colza Yellow,#F6B600,Jewel,"Colza Yellow – a lively golden yellow, uplifting for social and hospitality spaces",Yellows,"Kitchen, Kids Room, Dining Room, Living Room, Bedroom, Retail, Hospitality","Feature Walls, Bedrooms, Living Areas",Warm,Light,Interior,RAL Standard Collection,Vibrant,High Coverage
RAL 1023,Traffic Yellow,#F7B500,Jewel,Traffic Yellow – high-energy yellow for bold accents and modern interiors,Yellows,"Kitchen, Kids Room, Dining Room, Living Room, Bedroom, Retail, Hospitality, Exterior","Feature Walls, Accents",Warm,Light,Interior,RAL Standard Collection,Playful,High Coverage
RAL 1024,Ochre Yellow,#BA8F4C,Earthy,Ochre Yellow – earthy ochre with timeless warmth; versatile for traditional schemes,Oranges,"Kitchen, Dining Room, Kids Room, Retail, Hospitality","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Heritage,Full Coverage
RAL 1026,Luminous Yellow,#FFFF00,Jewel,Luminous Yellow – intense neon yellow for modern highlights and playful spaces,Yellows,"Kitchen, Kids Room, Dining Room, Living Room, Bedroom, Retail, Hospitality","Accent Walls, Bold Features",Warm,Light,Interior,RAL Standard Collection,Bold,High Coverage
RAL 1027,Curry,#A77F0E,Earthy,"Curry – spicy golden brown-yellow, strong and grounding for accents",Yellows,"Kitchen, Kids Room, Dining Room, Retail, Hospitality","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Rich,Full Coverage
RAL 1028,Melon Yellow,#FF9B00,Jewel,"Melon Yellow – a juicy, bright orange-yellow; brings playful warmth",Oranges,"Kitchen, Dining Room, Kids Room, Retail, Hospitality","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Playful,Full Coverage
RAL 1032,Broom Yellow,#E2A300,Jewel,Broom Yellow – vivid golden yellow with radiant depth; ideal for high-energy zones,Yellows,"Kitchen, Kids Room, Dining Room, Retail, Hospitality","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Vibrant,Full Coverage
RAL 1033,Dahlia Yellow,#F99A1C,Jewel,Dahlia Yellow – floral-inspired rich yellow-orange; warm and expressive,Oranges,"Kitchen, Dining Room, Kids Room, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Expressive,Full Coverage
RAL 1034,Pastel Yellow,#EB9C52,Pastels,"Pastel Yellow – a soft, muted yellow-orange with gentle warmth",Oranges,"Kitchen, Dining Room, Kids Room, Retail, Hospitality","Accent Walls, Bedrooms",Warm,Medium,Interior,RAL Standard Collection,Soft,Full Coverage
RAL 1035,Pearl Beige,#A29985,Earthy,Pearl Beige – sophisticated beige with subtle shimmer; timeless and grounding,Beiges,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality","Feature Walls, Decorative Accents",Neutral,Medium,Interior,RAL Standard Collection,Timeless,Full Coverage
RAL 1036,Pearl Gold,#8A6F30,Jewel,Pearl Gold – metallic-inspired gold-brown; luxurious and bold,Browns,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality, Exterior","Accent Walls, Decorative Accents",Warm,Medium,Both,RAL Standard Collection,Rich,Full Coverage
RAL 1037,Sun Yellow,#F09200,Jewel,Sun Yellow – a radiant sunshine yellow-orange that enlivens interiors,Yellows,"Kitchen, Kids Room, Dining Room, Retail, Hospitality","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Vibrant,Full Coverage
RAL 2000,Yellow Orange,#DD7907,Jewel,Yellow Orange – strong golden orange; vibrant for modern highlights,Oranges,"Kitchen, Dining Room, Kids Room, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Vibrant,Full Coverage
RAL 2001,Red Orange,#C93C20,Jewel,Red Orange – fiery orange-red that adds drama and warmth,Reds,"Dining Room, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Bold,Full Coverage
RAL 2002,Vermilion,#CB2821,Jewel,Vermilion – iconic vivid red-orange; expressive and striking,Reds,"Dining Room, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Expressive,Full Coverage
RAL 2003,Pastel Orange,#FF7514,Pastels,Pastel Orange – cheerful orange softened for comfort; friendly and bright,Oranges,"Kitchen, Dining Room, Kids Room, Retail, Hospitality","Feature Walls, Bedrooms",Warm,Medium,Interior,RAL Standard Collection,Playful,Full Coverage
RAL 2004,Pure Orange,#F44611,Jewel,Pure Orange – uncompromising bright orange; energizes any space,Oranges,"Kitchen, Dining Room, Kids Room, Retail, Hospitality","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Vibrant,Full Coverage
RAL 2005,Luminous Orange,#FF4E00,Jewel,Luminous Orange – glowing neon orange for modern statements,Oranges,"Kitchen, Dining Room, Kids Room, Retail, Hospitality","Accent Walls, Bold Features",Warm,Medium,Interior,RAL Standard Collection,Bold,Full Coverage
RAL 2007,Luminous Bright Orange,#FFA421,Jewel,Luminous Bright Orange – vivid orange with playful brilliance,Oranges,"Kitchen, Dining Room, Kids Room, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Playful,Full Coverage
RAL 2008,Bright Red Orange,#F75E25,Jewel,Bright Red Orange – dynamic orange-red with youthful energy,Oranges,"Kitchen, Dining Room, Kids Room, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Vibrant,Full Coverage
RAL 2009,Traffic Orange,#F54021,Jewel,Traffic Orange – strong signal orange for bold modern interiors,Oranges,"Kitchen, Dining Room, Kids Room, Retail, Hospitality, Exterior","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Bold,Full Coverage
RAL 2010,Signal Orange,#D84B20,Jewel,Signal Orange – rich orange-red that brings vitality and strength,Oranges,"Kitchen, Dining Room, Kids Room, Retail, Hospitality, Exterior","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Expressive,Full Coverage
RAL 2011,Deep Orange,#EC7C26,Jewel,Deep Orange – warm deep orange with earthy richness; perfect for accents,Oranges,"Kitchen, Dining Room, Kids Room, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Rich,Full Coverage
RAL 2012,Salmon Orange,#E55137,Jewel,Salmon Orange – a bright coral-orange bringing playful warmth and vibrancy,Oranges,"Kitchen, Dining Room, Kids Room, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Playful,Full Coverage
RAL 2013,Pearl Orange,#A9461E,Jewel,"Pearl Orange – a deep, rich burnt orange with luxurious depth",Oranges,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality, Kids Room","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Rich,Full Coverage
RAL 3000,Flame Red,#AF2B1E,Jewel,Flame Red – a vivid fiery red ideal for energizing statement walls,Reds,"Dining Room, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Bold,Full Coverage
RAL 3001,Signal Red,#A52019,Jewel,"Signal Red – iconic bright red; high-visibility, dynamic and striking",Reds,"Dining Room, Retail, Hospitality, Exterior","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Vibrant,Full Coverage
RAL 3002,Carmine Red,#A2231D,Jewel,Carmine Red – a deep crimson red with dramatic intensity,Reds,"Dining Room, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Dramatic,Full Coverage
RAL 3003,Ruby Red,#9B111E,Jewel,Ruby Red – jewel-toned red with depth and elegance,Reds,"Dining Room, Retail, Hospitality","Accent Walls, Industrial Applications",Warm,Dark,Both,RAL Standard Collection,Classic,Excellent Coverage
RAL 3004,Purple Red,#701F29,Jewel,Purple Red – a dark red with plum undertones; moody and sophisticated,Reds,"Dining Room, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Dark,Both,RAL Standard Collection,Heritage,Excellent Coverage
RAL 3005,Wine Red,#5E2028,Earthy,"Wine Red – a rich, dark claret red offering depth and tradition",Reds,"Dining Room, Retail, Hospitality","Accent Walls, Industrial Applications",Warm,Dark,Both,RAL Standard Collection,Heritage,Excellent Coverage
RAL 3007,Black Red,#412227,Earthy,"Black Red – very dark brown-red, dramatic and grounding",Reds,"Dining Room, Retail, Hospitality","Accent Walls, Decorative Accents",Neutral,Dark,Both,RAL Standard Collection,Dramatic,Excellent Coverage
RAL 3009,Oxide Red,#6D3F33,Earthy,"Oxide Red – earthy, natural brown-red; reliable and grounding",Browns,"Living Room, Dining Room, Office, Hospitality, Exterior","Feature Walls, Decorative Accents",Warm,Medium,Both,RAL Standard Collection,Traditional,Full Coverage
RAL 3011,Brown Red,#781F19,Earthy,Brown Red – a deep reddish-brown with strength and permanence,Browns,"Living Room, Dining Room, Office, Hospitality, Exterior","Accent Walls, Industrial Applications",Warm,Dark,Both,RAL Standard Collection,Classic,Excellent Coverage
RAL 3012,Beige Red,#C68873,Earthy,"Beige Red – warm rose-tinted beige, elegant and versatile",Beiges,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Soft,Full Coverage
RAL 3013,Tomato Red,#9C322E,Jewel,Tomato Red – lively red with a hint of orange; bright and expressive,Reds,"Dining Room, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Medium,Both,RAL Standard Collection,Expressive,Full Coverage
RAL 3014,Antique Pink,#CB7375,Pastels,"Antique Pink – muted vintage rose for romantic, soft interiors",Pinks,"Living Room, Dining Room, Retail","Feature Walls, Bedrooms",Warm,Medium,Interior,RAL Standard Collection,Romantic,Full Coverage
RAL 3015,Light Pink,#E1A6AD,Pastels,Light Pink – delicate pastel pink bringing charm and comfort,Pinks,"Bedroom, Kids Room, Retail","Feature Walls, Bedrooms",Neutral,Light,Interior,RAL Standard Collection,Soft,High Coverage
RAL 3016,Coral Red,#B32821,Jewel,Coral Red – vibrant coral-red; lively and uplifting,Reds,"Dining Room, Retail, Hospitality, Bedroom, Kids Room, Bathroom","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Vibrant,Full Coverage
RAL 3017,Rose,#D36B6B,Pastels,"Rose – warm rosy red; classic, romantic, and timeless",Reds,"Dining Room, Retail, Hospitality","Feature Walls, Bedrooms",Warm,Medium,Interior,RAL Standard Collection,Romantic,Full Coverage
RAL 3018,Strawberry Red,#D53032,Jewel,Strawberry Red – bright juicy red with playful energy,Reds,"Dining Room, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Playful,Full Coverage
RAL 3020,Traffic Red,#CC0000,Jewel,Traffic Red – strong signal red; bold and uncompromising,Reds,"Dining Room, Retail, Hospitality, Exterior","Accent Walls, Industrial Applications",Warm,Dark,Both,RAL Standard Collection,Bold,Excellent Coverage
RAL 3022,Salmon Pink,#D95030,Jewel,Salmon Pink – coral-pink blend that adds freshness and vibrancy,Pinks,"Living Room, Dining Room, Retail","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Playful,Full Coverage
RAL 3024,Luminous Red,#FF2D21,Jewel,Luminous Red – fluorescent red with striking modern appeal,Reds,"Dining Room, Retail, Hospitality","Accent Walls, Bold Features",Warm,Medium,Interior,RAL Standard Collection,Bold,High Coverage
RAL 3026,Luminous Bright Red,#FF1F1F,Jewel,Luminous Bright Red – vivid intense red; energetic and bold,Reds,"Dining Room, Retail, Hospitality","Accent Walls, Bold Features",Warm,Medium,Interior,RAL Standard Collection,Vibrant,High Coverage
RAL 3027,Raspberry Red,#C51D34,Jewel,Raspberry Red – deep raspberry tone; rich and dramatic,Reds,"Dining Room, Retail, Hospitality","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Rich,Full Coverage
RAL 3028,Pure Red,#E10721,Jewel,"Pure Red – clean, bright red; versatile and timeless",Reds,"Dining Room, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Classic,Full Coverage
RAL 3031,Orient Red,#B32428,Jewel,Orient Red – exotic warm red with richness and character,Reds,"Dining Room, Retail, Hospitality","Feature Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Heritage,Full Coverage
RAL 3032,Pearl ruby red,#711521,Jewel,Pearl ruby red – deep jewel red with luxurious depth; dramatic for statement features,Reds,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality","Accent Walls, Decorative Accents",Warm,Dark,Both,RAL Standard Collection,Dramatic,Excellent Coverage
RAL 3033,Pearl pink,#B24C56,Pastels,Pearl pink – refined rose-pink with a soft sheen; elegant and welcoming,Pinks,"Living Room, Bedroom, Dining Room, Kitchen, Bathroom, Office, Retail, Hospitality","Feature Walls, Bedrooms",Warm,Medium,Interior,RAL Standard Collection,Romantic,Full Coverage
RAL 4001,Red lilac,#6D3F5B,Purples & Pinks,Red lilac – muted plum-lilac; sophisticated and calming,Purples,"Bedroom, Kids Room, Retail","Feature Walls, Decorative Accents",Neutral,Medium,Interior,RAL Standard Collection,Classic,Full Coverage
RAL 4002,Red violet,#922B3E,Purples & Pinks,Red violet – saturated violet-red; bold and expressive,Purples,"Bedroom, Kids Room, Retail","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Bold,Full Coverage
RAL 4003,Heather violet,#DE4C8A,Purples & Pinks,Heather violet – lively pink-violet; playful and modern,Pinks,"Living Room, Dining Room, Retail","Accent Walls, Decorative Accents",Warm,Medium,Interior,RAL Standard Collection,Playful,Full Coverage
RAL 4004,Claret violet,#641C34,Jewel,Claret violet – very dark wine-violet; moody and luxurious,Purples,"Bedroom, Kids Room, Retail","Accent Walls, Decorative Accents",Warm,Dark,Both,RAL Standard Collection,Heritage,Excellent Coverage
RAL 4005,Blue lilac,#6C4675,Purples & Pinks,Blue lilac – cool lavender-purple; refined and serene,Purples,"Bedroom, Kids Room, Retail","Feature Walls, Decorative Accents",Cool,Medium,Interior,RAL Standard Collection,Calming,Full Coverage
RAL 4006,Traffic purple,#A03472,Purples & Pinks,Traffic purple – vivid magenta-purple; energetic focal color,Purples,"Bedroom, Kids Room, Retail, Exterior","Accent Walls, Decorative Accents",Cool,Medium,Interior,RAL Standard Collection,Vibrant,Full Coverage
RAL 4007,Purple violet,#4A192C,Jewel,Purple violet – ultra-deep purple; dramatic and intimate,Purples,"Bedroom, Kids Room, Retail","Accent Walls, Decorative Accents",Cool,Dark,Both,RAL Standard Collection,Moody,Excellent Coverage
RAL 4008,Signal violet,#924B9A,Purples & Pinks,Signal violet – assertive violet with contemporary edge,Purples,"Bedroom, Kids Room, Retail, Exterior","Accent Walls, Decorative Accents",Cool,Medium,Interior,RAL Standard Collection,Modern Classic,Full Coverage
