RAL Code,Calyco Name,Hex Code,Color Family,Tone,Layer,Sheen,Collection,Interior Use,Exterior Use,Mood,Light Reflectance,Undertone,Popularity,Contractor,Designer,Uses
RAL 9010,Pure White,#F7F4EF,Whites,Neutral,Foundation,Matte/Eggshell,Essential Neutrals,"Ceilings, Walls, Trim","Facades, Trim","Clean, Fresh, Minimalist",85-90%,Warm,High,Yes,Yes,"Interior, Exterior"
RAL 9016,Bright White,#F7FBF5,Whites,Cool,Foundation,Matte/Eggshell,Essential Neutrals,"Ceilings, Modern Spaces",Contemporary Facades,"Crisp, Modern, Bright",90-95%,Cool,High,Yes,Yes,"Interior, Exterior"
RAL 9001,Cream White,#F5E8DC,Whites,Warm,Foundation,Matte/Satin,Essential Neutrals,"Living Rooms, Bedrooms",Traditional Homes,"Warm, Inviting, Classic",80-85%,Yellow,High,Yes,Yes,"Interior, Exterior"
RAL 9002,Warm White,#E7E4D8,Whites,Warm,Foundation,Matte,Essential Neutrals,"Bedrooms, Common Areas",Heritage Buildings,"Cozy, Comfortable, Soft",75-80%,Beige,Medium,Yes,Yes,"Interior, Exterior"
RAL 1013,Pearl White,#EAE3CD,Whites,Warm,Editorial,Satin/Pearl,Contemporary Neutrals,"Feature Walls, Dining",Luxury Facades,"Elegant, Refined, Sophisticated",70-75%,Yellow,Medium,No,Yes,"Interior, Exterior"
RAL 1015,Ivory,#E5D9C8,Whites,Warm,Editorial,Matte/Satin,Contemporary Neutrals,"Bedrooms, Studies",Colonial Style,"Classic, Timeless, Warm",70-75%,Cream,Medium,No,Yes,"Interior, Exterior"
RAL 9018,Silk White,#CFD3CD,Whites,Cool,Editorial,Satin,Contemporary Neutrals,Minimalist Spaces,Modern Architecture,"Subtle, Understated, Modern",65-70%,Grey,Low,No,Yes,"Interior, Exterior"
RAL 9003,Studio White,#EEE9E3,Whites,Neutral,Editorial,Matte,Contemporary Neutrals,"Art Studios, Galleries",Commercial Buildings,"Professional, Clean, Neutral",75-80%,Neutral,Medium,No,Yes,"Interior, Exterior"
RAL 1014,Linen,#DED3B6,Whites,Warm,Editorial,Matte,Contemporary Neutrals,"Bedrooms, Spa Spaces",Resort Style,"Natural, Organic, Calming",65-70%,Sand,Low,No,Yes,"Interior, Exterior"
RAL 9022,Dove Gray,#8E8E8E,Whites,Cool,Editorial,Matte/Satin,Contemporary Neutrals,Industrial Lofts,Urban Buildings,"Industrial, Modern, Urban",40-45%,Neutral,Medium,No,Yes,"Interior, Exterior"
RAL 7047,Cloud Gray,#C8C8C8,Whites,Cool,Editorial,Matte,Contemporary Neutrals,"Offices, Modern Homes",Commercial Facades,"Soft, Airy, Professional",55-60%,Cool Grey,Medium,No,Yes,"Interior, Exterior"
RAL 7035,Silver Gray,#D4D4D4,Whites,Cool,Editorial,Satin,Contemporary Neutrals,"Tech Offices, Showrooms",Modern Buildings,"Sleek, Contemporary, Tech",60-65%,Silver,Medium,No,Yes,"Interior, Exterior"
RAL 9006,Metallic White,#A5A5A0,Whites,Cool,Editorial,Metallic,Contemporary Neutrals,"Feature Walls, Accents",Architectural Details,"Luxe, Industrial, Bold",50-55%,Metallic,Low,No,Yes,"Interior, Exterior"
RAL 7044,Silk Gray,#C5BBAE,Whites,Warm,Editorial,Satin,Contemporary Neutrals,"Bedrooms, Lounges",Boutique Hotels,"Sophisticated, Soft, Elegant",55-60%,Taupe,Low,No,Yes,"Interior, Exterior"
RAL 9011,Monsoon White,#F7F4EF,Whites,Neutral,Signature,Matte,Heritage Collection,Traditional Homes,Heritage Properties,"Pure, Cultural, Timeless",85-90%,Warm,Medium,No,Yes,"Interior, Exterior"
RAL 1012,Lotus Cream,#E5D9C8,Whites,Warm,Signature,Matte/Satin,Heritage Collection,"Meditation Rooms, Spas",Wellness Centers,"Spiritual, Serene, Sacred",80-85%,Cream,Low,No,Yes,"Interior, Exterior"
RAL 1004,Jasmine White,#F5E8DC,Whites,Warm,Signature,Satin,Heritage Collection,"Master Bedrooms, Lounges",Boutique Properties,"Fragrant, Luxurious, Indian",70-75%,Yellow,Low,No,Yes,"Interior, Exterior"
RAL 7001,Light Gray,#8B949A,Grays,Cool,Foundation,Matte/Satin,Professional Grays,"Offices, Commercial",Office Buildings,"Professional, Neutral, Calm",40-45%,Blue,High,Yes,Yes,"Interior, Exterior"
RAL 7004,Medium Gray,#6C7156,Grays,Warm,Foundation,Matte,Professional Grays,Industrial Spaces,Warehouses,"Sturdy, Grounded, Utilitarian",30-35%,Green,Medium,Yes,No,"Interior, Exterior"
RAL 7005,Slate Gray,#646A58,Grays,Cool,Foundation,Matte,Professional Grays,"Basements, Garages",Industrial Buildings,"Strong, Durable, Practical",25-30%,Green,Medium,Yes,No,"Interior, Exterior"
RAL 7006,Neutral Gray,#665F50,Grays,Warm,Foundation,Matte,Professional Grays,"Workshops, Garages",Industrial Facades,"Functional, Understated, Practical",25-30%,Brown,Low,Yes,No,"Interior, Exterior"
RAL 7034,Sand Gray,#917D6C,Grays,Warm,Foundation,Matte,Professional Grays,"Corridors, Utility Spaces",Commercial Buildings,"Earthy, Warm, Subdued",35-40%,Beige,Low,Yes,No,"Interior, Exterior"
RAL 7040,Window Gray,#A4ADB0,Grays,Cool,Foundation,Satin,Professional Grays,"Offices, Showrooms",Window Frames,"Clean, Corporate, Modern",45-50%,Blue,High,Yes,Yes,"Interior, Exterior"
RAL 7012,Cool Gray,#434B4D,Grays,Cool,Foundation,Matte,Professional Grays,"Accent Walls, Offices",Commercial Buildings,"Professional, Sleek, Modern",20-25%,Blue,Medium,Yes,Yes,"Interior, Exterior"
RAL 7016,Anthracite Gray,#434750,Grays,Cool,Foundation,Matte/Satin,Professional Grays,"Feature Walls, Modern Spaces",Contemporary Architecture,"Bold, Sophisticated, Urban",15-20%,Blue,High,Yes,Yes,"Interior, Exterior"
RAL 7021,Charcoal Gray,#383E42,Grays,Cool,Foundation,Matte,Professional Grays,"Accent Walls, Lofts",Urban Buildings,"Dramatic, Moody, Strong",10-15%,Neutral,Medium,Yes,Yes,"Interior, Exterior"
RAL 7030,Deep Gray,#2F353B,Grays,Cool,Foundation,Matte,Professional Grays,"Feature Walls, Theaters",Modern Facades,"Intense, Dramatic, Bold",8-12%,Blue,Low,Yes,Yes,"Interior, Exterior"
RAL 5014,Dusty Blue-Gray,#606E8C,Grays,Cool,Editorial,Matte/Satin,Designer Grays,"Bedrooms, Living Rooms",Boutique Buildings,"Sophisticated, Calming, Trendy",25-30%,Blue,High,No,Yes,"Interior, Exterior"
RAL 5023,Distant Blue,#49678D,Grays,Cool,Editorial,Matte,Designer Grays,"Studies, Bedrooms",Coastal Properties,"Contemplative, Serene, Elegant",20-25%,Blue,Medium,No,Yes,"Interior, Exterior"
RAL 7037,Soft Gray,#7F7679,Grays,Warm,Editorial,Matte,Designer Grays,"Living Rooms, Bedrooms",Residential Buildings,"Gentle, Warm, Inviting",30-35%,Purple,Medium,No,Yes,"Interior, Exterior"
RAL 7038,Stone Gray,#7D7F7D,Grays,Neutral,Editorial,Matte,Designer Grays,Contemporary Spaces,Modern Architecture,"Balanced, Natural, Grounded",30-35%,Neutral,Medium,No,Yes,"Interior, Exterior"
RAL 7032,Pebble Gray,#474B4E,Grays,Cool,Editorial,Matte,Designer Grays,Modern Interiors,Contemporary Facades,"Refined, Understated, Modern",18-22%,Blue,Medium,No,Yes,"Interior, Exterior"
RAL 9023,Pearl Gray,#828282,Grays,Cool,Editorial,Pearl/Satin,Designer Grays,"Feature Walls, Offices",Luxury Buildings,"Elegant, Luminous, Premium",35-40%,Silver,Low,No,Yes,"Interior, Exterior"
RAL 7039,Quartz Gray,#B5B8B1,Grays,Warm,Editorial,Matte/Satin,Designer Grays,"Living Spaces, Kitchens",Residential Facades,"Light, Airy, Contemporary",50-55%,Beige,Medium,No,Yes,"Interior, Exterior"
RAL 7015,Modern Charcoal,#434750,Grays,Cool,Signature,Matte/Satin,Urban Collection,"Feature Walls, Commercial",High-End Commercial,"Contemporary, Bold, Premium",15-20%,Blue,High,No,Yes,"Interior, Exterior"
RAL 7033,Concrete Shield,#B8BDB6,Grays,Cool,Signature,Matte,Industrial Collection,Industrial Lofts,Industrial Buildings,"Protective, Durable, Industrial",50-55%,Green,Medium,Yes,Yes,"Interior, Exterior"
RAL 8004,Clay Brown,#734222,Earth Tones,Warm,Foundation,Matte,Natural Earth,"Rustic Spaces, Dens",Traditional Buildings,"Grounded, Natural, Rustic",20-25%,Red,Medium,Yes,Yes,"Interior, Exterior"
RAL 8003,Terra Brown,#6C3B2A,Earth Tones,Warm,Foundation,Matte,Natural Earth,"Living Rooms, Studies",Heritage Buildings,"Warm, Earthy, Traditional",18-22%,Red,Medium,Yes,Yes,"Interior, Exterior"
RAL 8024,Natural Tan,#795038,Earth Tones,Warm,Foundation,Matte,Natural Earth,"Bedrooms, Lounges",Residential Buildings,"Comfortable, Warm, Inviting",22-27%,Orange,High,Yes,Yes,"Interior, Exterior"
RAL 8025,Soft Earth,#755C48,Earth Tones,Warm,Foundation,Matte,Natural Earth,"Common Areas, Hallways",Traditional Homes,"Subtle, Warm, Natural",25-30%,Brown,Medium,Yes,Yes,"Interior, Exterior"
RAL 8011,Nut Brown,#6F4F28,Earth Tones,Warm,Foundation,Matte,Natural Earth,"Libraries, Studies",Wood-Style Buildings,"Rich, Warm, Classic",20-25%,Orange,Medium,Yes,Yes,"Interior, Exterior"
RAL 8017,Chocolate Brown,#45322E,Earth Tones,Warm,Foundation,Matte/Satin,Natural Earth,"Accent Walls, Dens",Traditional Architecture,"Deep, Rich, Luxurious",12-17%,Red,Low,Yes,Yes,"Interior, Exterior, Waterproofing Sealer"
RAL 8019,Warm Brown,#403A3A,Earth Tones,Warm,Foundation,Matte,Natural Earth,"Feature Walls, Basements",Dark Wood Style,"Cozy, Dark, Enveloping",10-15%,Neutral,Low,Yes,No,"Interior, Exterior"
RAL 8001,Golden Ochre,#826C34,Earth Tones,Warm,Editorial,Matte,Designer Earth,"Feature Walls, Dining",Mediterranean Style,"Warm, Inviting, Golden",30-35%,Yellow,Medium,No,Yes,"Interior, Exterior"
RAL 8002,Spice Brown,#955F20,Earth Tones,Warm,Editorial,Matte,Designer Earth,"Accent Walls, Kitchens",Craftsman Style,"Bold, Warm, Spicy",25-30%,Orange,Low,No,Yes,"Interior, Exterior"
RAL 3009,Oxide Clay,#6D3F33,Earth Tones,Warm,Editorial,Matte,Designer Earth,"Feature Walls, Libraries",Rustic Buildings,"Deep, Earthy, Grounded",20-25%,Red,Low,No,Yes,"Interior, Exterior"
RAL 8023,Terracotta,#A45729,Earth Tones,Warm,Editorial,Matte,Designer Earth,"Dining Rooms, Kitchens",Mediterranean Buildings,"Warm, Vibrant, Mediterranean",30-35%,Orange,High,No,Yes,"Interior, Exterior"
RAL 2013,Burnt Orange,#A9461E,Earth Tones,Warm,Editorial,Matte/Satin,Designer Earth,"Accent Walls, Creative Spaces",Bold Architecture,"Energetic, Bold, Warm",28-33%,Orange,Medium,No,Yes,"Interior, Exterior"
RAL 8007,Rustic Clay,#8E402A,Earth Tones,Warm,Editorial,Matte,Designer Earth,"Rustic Interiors, Lodges",Farmhouse Style,"Rustic, Warm, Authentic",25-30%,Red,Low,No,Yes,"Interior, Exterior"
RAL 1027,Curry Gold,#A77F0E,Earth Tones,Warm,Editorial,Satin,Designer Earth,"Dining Rooms, Foyers",Statement Buildings,"Rich, Luxurious, Spicy",35-40%,Yellow,Low,No,Yes,"Interior, Exterior"
RAL 1036,Deep Gold,#8A6F30,Earth Tones,Warm,Editorial,Satin,Designer Earth,"Feature Walls, Dining",Luxury Buildings,"Opulent, Warm, Elegant",32-37%,Gold,Low,No,Yes,"Interior, Exterior"
RAL 8029,Copper Clay,#763C28,Earth Tones,Warm,Editorial,Matte/Satin,Designer Earth,"Accent Walls, Dens",Craftsman Buildings,"Warm, Metallic, Rich",22-27%,Red,Low,No,Yes,"Interior, Exterior"
RAL 8015,Chestnut,#633A34,Earth Tones,Warm,Editorial,Matte,Designer Earth,"Libraries, Studies",Traditional Homes,"Rich, Dark, Sophisticated",18-23%,Red,Low,No,Yes,"Interior, Exterior"
RAL 8016,Mahogany,#4C2F27,Earth Tones,Warm,Editorial,Satin,Designer Earth,"Accent Walls, Libraries",Traditional Architecture,"Luxurious, Deep, Elegant",12-17%,Red,Low,No,Yes,"Interior, Exterior"
RAL 7003,Olive Earth,#7E7B52,Earth Tones,Warm,Editorial,Matte,Designer Earth,"Living Rooms, Studies",Natural Stone Style,"Natural, Grounded, Organic",30-35%,Green,Low,No,Yes,"Interior, Exterior"
RAL 6003,Olive Green,#424632,Earth Tones,Cool,Editorial,Matte,Designer Earth,"Feature Walls, Modern Spaces",Contemporary Buildings,"Natural, Sophisticated, Calm",15-20%,Green,Medium,No,Yes,"Interior, Exterior"
RAL 8028,Rajasthani Clay,#4E3B31,Earth Tones,Warm,Signature,Matte,Heritage Collection,"Feature Walls, Traditional Spaces",Heritage Properties,"Cultural, Traditional, Authentic",18-22%,Red,Low,No,Yes,"Interior, Exterior"
RAL 8014,Terracotta Heritage,#382C1E,Earth Tones,Warm,Signature,Matte,Heritage Collection,"Traditional Dining, Kitchens",Indian Architecture,"Traditional, Warm, Cultural",30-35%,Orange,Medium,No,Yes,"Interior, Exterior"
RAL 1006,Turmeric Earth,#E49E00,Earth Tones,Warm,Signature,Satin,Heritage Collection,"Dining Rooms, Traditional Spaces",Cultural Buildings,"Vibrant, Cultural, Warm",35-40%,Yellow,Low,No,Yes,"Interior, Exterior"
RAL 5012,Light Blue,#3B83BD,Blues,Cool,Foundation,Matte/Satin,Essential Blues,"Bedrooms, Bathrooms",Coastal Buildings,"Fresh, Calming, Airy",30-35%,Blue,High,Yes,Yes,"Interior, Exterior"
RAL 5015,Sky Blue,#2271B3,Blues,Cool,Foundation,Matte,Essential Blues,"Living Rooms, Bedrooms",Residential Facades,"Bright, Cheerful, Open",28-33%,Blue,High,Yes,Yes,"Interior, Exterior"
RAL 5007,Clear Blue,#3E5F8A,Blues,Cool,Foundation,Matte,Essential Blues,"Offices, Commercial",Commercial Buildings,"Professional, Trustworthy, Calm",25-30%,Blue,Medium,Yes,Yes,"Interior, Exterior"
RAL 5019,Marine Blue,#1B5583,Blues,Cool,Foundation,Matte/Satin,Essential Blues,"Accent Walls, Studies",Maritime Buildings,"Deep, Strong, Nautical",20-25%,Blue,Medium,Yes,Yes,"Interior, Exterior"
RAL 5020,Ocean Blue,#1D334A,Blues,Cool,Foundation,Matte,Essential Blues,"Feature Walls, Libraries",Traditional Architecture,"Rich, Deep, Sophisticated",12-17%,Blue,Low,Yes,Yes,"Interior, Exterior"
RAL 5010,Deep Navy,#0E294B,Blues,Cool,Foundation,Matte/Satin,Essential Blues,"Accent Walls, Corporate",Corporate Buildings,"Bold, Authoritative, Classic",8-12%,Blue,Medium,Yes,Yes,"Interior, Exterior"
RAL 5024,Pastel Blue,#5D9B9B,Blues,Cool,Editorial,Matte,Contemporary Blues,"Bedrooms, Nurseries",Coastal Properties,"Soft, Soothing, Gentle",35-40%,Blue-Green,Medium,No,Yes,"Interior, Exterior"
RAL 5013,Dusty Blue,#1E213D,Blues,Cool,Editorial,Matte/Satin,Contemporary Blues,"Living Rooms, Bedrooms",Boutique Hotels,"Sophisticated, Muted, Elegant",25-30%,Blue,High,No,Yes,"Interior, Exterior"
RAL 5008,Distant Blue,#26252D,Blues,Cool,Editorial,Matte,Contemporary Blues,"Studies, Home Offices",Modern Buildings,"Contemplative, Refined, Serene",20-25%,Blue,Medium,No,Yes,"Interior, Exterior"
RAL 5021,Teal Blue,#256D7B,Blues,Cool,Editorial,Matte/Satin,Contemporary Blues,"Bathrooms, Feature Walls",Coastal Architecture,"Bold, Refreshing, Modern",22-27%,Teal,High,No,Yes,"Interior, Exterior"
RAL 5018,Aqua Blue,#3F888F,Blues,Cool,Editorial,Satin,Contemporary Blues,"Bathrooms, Kitchens",Pool Areas,"Vibrant, Fresh, Tropical",28-33%,Aqua,Medium,No,Yes,"Interior, Exterior"
RAL 5025,Pearl Teal,#2A6478,Blues,Cool,Editorial,Satin/Pearl,Contemporary Blues,"Feature Walls, Spas",Luxury Buildings,"Elegant, Unique, Premium",20-25%,Teal,Low,No,Yes,"Interior, Exterior"
RAL 5000,Twilight Blue,#354D73,Blues,Cool,Editorial,Matte,Contemporary Blues,"Bedrooms, Media Rooms",Residential Buildings,"Mysterious, Calm, Deep",18-23%,Blue,Low,No,Yes,"Interior, Exterior"
RAL 5026,Midnight Blue,#102C54,Blues,Cool,Editorial,Matte/Satin,Contemporary Blues,"Accent Walls, Theaters",Dramatic Architecture,"Dramatic, Rich, Bold",10-15%,Blue,Low,No,Yes,"Interior, Exterior"
RAL 5011,Monsoon Sky,#1F2A44,Blues,Cool,Signature,Matte/Satin,Heritage Collection,"Living Spaces, Bedrooms",Residential Buildings,"Cultural, Serene, Indian",25-30%,Blue,Medium,No,Yes,"Interior, Exterior"
RAL 5009,Arabian Sea,#025669,Blues,Cool,Signature,Matte/Satin,Heritage Collection,"Feature Walls, Bathrooms",Coastal Properties,"Maritime, Cultural, Bold",22-27%,Teal,Medium,No,Yes,"Interior, Exterior"
RAL 5017,Peacock Blue,#063971,Blues,Cool,Signature,Satin,Heritage Collection,"Feature Walls, Dining",Cultural Buildings,"Vibrant, Regal, Indian",30-35%,Blue,Low,No,Yes,"Interior, Exterior"
RAL 6002,Leaf Green,#2D5016,Greens,Warm,Foundation,Matte,Essential Greens,"Accent Walls, Commercial",Industrial Buildings,"Natural, Fresh, Organic",18-23%,Green,Medium,Yes,Yes,"Interior, Exterior"
RAL 6001,Emerald Green,#287233,Greens,Cool,Foundation,Matte/Satin,Essential Greens,"Feature Walls, Offices",Commercial Buildings,"Rich, Luxurious, Bold",20-25%,Green,Medium,Yes,Yes,"Interior, Exterior"
RAL 6029,Mint Green,#20603D,Greens,Cool,Foundation,Matte,Essential Greens,"Hospitals, Wellness Centers",Healthcare Buildings,"Fresh, Clean, Soothing",22-27%,Green,High,Yes,Yes,"Interior, Exterior"
RAL 6005,Forest Green,#2F4538,Greens,Cool,Foundation,Matte,Essential Greens,"Libraries, Studies",Traditional Architecture,"Deep, Rich, Classic",15-20%,Green,Low,Yes,Yes,"Interior, Exterior"
RAL 6009,Pine Green,#31372B,Greens,Cool,Foundation,Matte,Essential Greens,"Accent Walls, Dens",Rustic Buildings,"Dark, Natural, Grounded",12-17%,Green,Low,Yes,No,"Interior, Exterior"
RAL 6028,Deep Pine,#2C5545,Greens,Cool,Foundation,Matte,Essential Greens,"Feature Walls, Commercial",Traditional Buildings,"Strong, Deep, Natural",15-20%,Green,Low,Yes,Yes,"Interior, Exterior"
RAL 6019,Pastel Green,#BDECB6,Greens,Cool,Editorial,Matte,Contemporary Greens,"Bedrooms, Nurseries",Residential Buildings,"Soft, Gentle, Calming",75-80%,Green,Medium,No,Yes,"Interior, Exterior"
RAL 6021,Pale Green,#89AC76,Greens,Warm,Editorial,Matte,Contemporary Greens,"Living Rooms, Kitchens",Residential Buildings,"Fresh, Natural, Inviting",45-50%,Green,Medium,No,Yes,"Interior, Exterior"
RAL 6034,Turquoise Green,#7FB5B5,Greens,Cool,Editorial,Matte/Satin,Contemporary Greens,"Bathrooms, Pool Areas",Coastal Properties,"Refreshing, Tropical, Bright",50-55%,Turquoise,High,No,Yes,"Interior, Exterior"
RAL 6027,Light Cyan,#84C3BE,Greens,Cool,Editorial,Satin,Contemporary Greens,"Bathrooms, Spas",Resort Style,"Calm, Spa-like, Serene",52-57%,Cyan,High,No,Yes,"Interior, Exterior"
RAL 6033,Cyan Turquoise,#497E76,Greens,Cool,Editorial,Matte/Satin,Contemporary Greens,"Feature Walls, Bathrooms",Modern Buildings,"Bold, Contemporary, Fresh",30-35%,Turquoise,Medium,No,Yes,"Interior, Exterior"
RAL 6004,Blue Green,#1F3A3D,Greens,Cool,Editorial,Matte,Contemporary Greens,"Accent Walls, Studies",Contemporary Architecture,"Deep, Sophisticated, Modern",12-17%,Teal,Low,No,Yes,"Interior, Exterior"
